matricula,nombre,apellido,edad,genero,carrera,cuatrimestre,promedio
A00655,Luis,López,23,F,Arquitectura,4,9.73
A00656,Carlos,Pérez,20,M,Psicología,5,9.93
A00658,María,García,29,F,Ingeniería,3,9.33
A00663,Carlos,Ramírez,19,M,Arquitectura,3,9.03
A00668,Laura,Torres,26,F,Arquitectura,8,9.15
A00681,Laura,Pérez,26,F,Arquitectura,9,9.85
A00691,Miguel,Hernández,29,F,Psicología,9,9.34
A00692,Sofía,López,24,F,Medicina,2,9.45
A00693,Ana,Torres,19,F,Derecho,3,9.11
A00697,Luis,Torres,28,F,Economía,6,9.31
A00698,José,Pérez,29,F,Derecho,4,9.51
A00702,Miguel,Hernández,26,F,Derecho,6,9.49
A00705,Ana,Torres,22,M,Ingeniería,1,9.96
A00708,María,González,19,F,Arquitectura,3,9.33
A00718,José,Ramírez,19,M,Arquitectura,7,9.68
A00733,María,Pérez,23,M,Ingeniería,3,9.37
A00737,María,García,23,F,Medicina,9,9.15
A00739,Ana,González,27,M,Psicología,3,9.6
A00743,María,González,19,M,Ingeniería,2,9.33
A00744,Luis,Torres,18,M,Psicología,5,9.49
A00749,Laura,Torres,26,M,Derecho,8,9.95
A00750,Ana,Torres,26,F,Medicina,3,9.81
A00751,Luis,Torres,24,M,Arquitectura,3,9.75
A00752,Luis,Martínez,18,F,Arquitectura,9,9.61
A00753,Ana,Torres,25,M,Economía,7,9.1
A00754,Carlos,Pérez,20,M,Economía,4,9.54
A00760,Miguel,Ramírez,26,M,Arquitectura,5,9.04
A00764,María,Ramírez,18,F,Arquitectura,9,9.25
A00766,José,Hernández,20,F,Arquitectura,6,9.56
A00770,José,Ramírez,18,F,Medicina,4,9.01
A00774,Sofía,González,27,M,Arquitectura,3,9.19
A00777,Carlos,Pérez,23,M,Arquitectura,1,9.4
A00778,Carlos,García,22,F,Economía,4,9.38
A00782,Miguel,Hernández,28,M,Arquitectura,3,9.07
A00787,Luis,Ramírez,25,M,Arquitectura,5,9.62
A00788,Luis,Torres,18,F,Ingeniería,7,9.18
A00797,María,Ramírez,25,M,Ingeniería,8,9.9
A00798,Carlos,Martínez,29,F,Arquitectura,8,9.8
A00800,Carlos,García,19,M,Psicología,9,9.82
A00802,Laura,Hernández,24,M,Medicina,2,9.59
A00803,Ana,Torres,20,M,Arquitectura,8,9.05
A00808,María,Martínez,19,M,Ingeniería,3,9.19
A00811,Carlos,García,19,M,Arquitectura,9,9.82
A00813,María,Pérez,26,F,Psicología,9,9.46
A00819,José,Ramírez,26,F,Medicina,2,9.94
A00822,Ana,Ramírez,25,F,Medicina,4,9.87
A00824,Sofía,López,20,M,Medicina,7,9.73
A00827,Luis,López,21,M,Derecho,9,9.35
A00831,Sofía,Hernández,24,M,Derecho,5,9.33
A00834,Miguel,Ramírez,20,M,Ingeniería,8,9.69
A00835,Luis,González,24,F,Derecho,8,9.99
A00838,Luis,Hernández,25,M,Medicina,1,9.93
A00842,Sofía,López,18,M,Psicología,3,9.28
A00853,Sofía,Pérez,23,M,Derecho,6,9.71
A00854,Carlos,Martínez,28,M,Economía,5,9.34
A00856,Carlos,Hernández,25,F,Psicología,2,9.74
A00857,Ana,López,24,M,Psicología,7,9.2
A00858,Miguel,Martínez,28,F,Derecho,8,9.69
A00859,José,González,26,M,Psicología,2,9.46
A00862,José,Pérez,25,F,Ingeniería,3,9.8
A00864,Luis,Martínez,28,F,Arquitectura,8,9.7
A00866,Laura,García,19,F,Psicología,6,9.78
A00870,Laura,González,18,F,Psicología,4,9.21
A00873,Luis,Hernández,23,F,Derecho,9,9.8
A00876,Laura,Torres,25,M,Economía,6,9.46
A00885,Luis,Hernández,28,M,Arquitectura,1,9.19
A00889,Luis,Hernández,27,F,Medicina,9,9.58
A00900,José,Ramírez,21,F,Arquitectura,3,9.28
A00912,Carlos,Hernández,18,M,Psicología,8,9.46
A00915,José,González,29,M,Arquitectura,8,9.32
A00916,Miguel,Pérez,26,F,Derecho,1,9.5
A00920,José,Pérez,29,M,Derecho,4,9.92
A00926,Miguel,López,26,M,Psicología,2,9.96
A00927,Laura,Ramírez,24,F,Derecho,7,9.03
A00929,Sofía,González,24,F,Medicina,1,9.98
A00933,Sofía,Pérez,27,F,Economía,8,9.13
A00935,María,Ramírez,18,M,Psicología,3,9.58
A00937,Miguel,López,23,F,Ingeniería,7,9.07
A00940,María,González,29,M,Arquitectura,3,9.91
A00944,Laura,López,29,F,Ingeniería,3,9.8
A00955,Miguel,Ramírez,20,F,Medicina,6,9.32
A00959,Sofía,López,29,M,Psicología,6,9.96
A00964,Laura,Torres,18,F,Arquitectura,2,9.48
A00965,Sofía,Torres,22,M,Arquitectura,3,9.23
A00979,Luis,Pérez,21,F,Psicología,8,9.89
A00981,Laura,Torres,21,M,Ingeniería,1,9.4
A00983,Miguel,García,22,M,Derecho,5,9.13
A00987,Miguel,García,22,M,Psicología,3,9.8
