matricula,nombre,apellido,edad,promedio,carrera,genero,cuatrimestre
A00054,Pedro,García,22,7.17,Administración,F,8
A00055,Laura,Martínez,18,9.14,Derecho,F,7
A00056,Laura,González,25,8.96,Psicología,M,6
A00057,Ana,López,22,6.97,Ingeniería,F,1
A00058,Carlos,González,21,7.47,Psicología,M,2
A00059,María,García,18,9.89,Derecho,M,6
A00060,Pedro,Hernández,25,9.99,Arquitectura,M,7
A00061,Ana,Hernández,20,9.1,Administración,M,5
A00062,Pedro,González,24,8.93,Derecho,M,6
A00063,Carmen,Rodríguez,20,8.19,Ingeniería,M,5
A00064,Diego,Martínez,21,9.18,Arquitectura,F,5
A00065,Carlos,Hernández,18,6.6,Derecho,F,2
A00066,Ana,García,19,9.73,Arquitectura,M,5
A00067,Laura,García,21,6.1,Arquitectura,F,7
A00068,Juan,Martínez,18,8.17,Psicología,M,8
A00069,Ana,Martínez,25,8.54,Psicología,M,4
A00070,Juan,Martínez,23,8.77,Ingeniería,M,4
A00071,Laura,Hernández,24,6.04,Derecho,M,6
A00072,Diego,García,20,7.34,Administración,M,3
A00073,Carlos,Martínez,24,9.04,Medicina,F,6
A00074,María,Hernández,21,7.51,Derecho,M,1
A00075,Ana,Martínez,24,8.95,Arquitectura,F,1
A00076,Laura,García,25,7.23,Ingeniería,F,2
A00077,Ana,García,18,6.82,Ingeniería,F,1
A00078,Carmen,Rodríguez,20,9.93,Medicina,F,7
A00079,Diego,González,21,7.68,Arquitectura,F,2
A00080,Carmen,López,23,9.84,Arquitectura,F,2
A00081,Pedro,García,25,9.89,Ingeniería,M,8
A00082,Carlos,López,24,6.57,Administración,F,6
A00083,Pedro,Rodríguez,23,7.12,Ingeniería,M,4
A00084,Ana,González,20,6.18,Medicina,M,5
A00085,Carlos,Hernández,25,6.93,Administración,M,5
A00086,Diego,González,23,9.38,Administración,F,4
A00087,Diego,González,23,7.65,Medicina,F,1
A00088,Laura,Hernández,22,9.58,Administración,M,1
A00089,Ana,Rodríguez,25,7.83,Psicología,F,2
A00090,Pedro,Martínez,21,8.99,Ingeniería,M,1
A00091,Carmen,González,21,8.32,Medicina,M,4
A00092,María,González,22,8.02,Arquitectura,F,2
A00093,Juan,Rodríguez,22,8.55,Administración,F,2
A00094,María,Martínez,21,7.58,Administración,M,2
A00095,Pedro,González,22,8.37,Psicología,M,3
A00096,Pedro,González,22,6.25,Administración,M,7
A00097,Diego,Martínez,21,8.65,Ingeniería,F,3
A00098,María,García,25,6.52,Administración,F,2
A00099,Diego,Hernández,23,7.17,Administración,M,3
A00100,Diego,García,25,9.4,Medicina,M,5
A00101,Carmen,Hernández,23,9.7,Ingeniería,M,5
A00102,Carlos,Hernández,22,7.57,Psicología,F,8
A00103,Juan,González,22,9.33,Administración,M,2
A00104,María,Hernández,19,7.31,Derecho,M,8
A00105,Carlos,López,24,7.81,Ingeniería,F,5
A00106,Laura,Martínez,24,6.93,Ingeniería,F,7
A00107,María,Martínez,23,9.77,Ingeniería,F,6
A00108,Carlos,López,20,6.54,Ingeniería,F,5
A00109,Diego,Martínez,22,9.08,Medicina,M,3
A00110,Pedro,Rodríguez,18,6.44,Derecho,M,2
A00111,Carmen,Martínez,22,6.42,Arquitectura,M,5
A00112,Juan,Martínez,19,7.8,Ingeniería,F,1
A00113,Carlos,Martínez,23,7.26,Arquitectura,F,7
A00114,Pedro,Hernández,25,6.48,Medicina,F,7
A00115,María,García,22,7.43,Derecho,M,6
A00116,Carlos,Rodríguez,25,9.08,Psicología,F,1
A00117,Ana,Martínez,21,7.81,Psicología,M,5
A00118,Pedro,Rodríguez,21,7.85,Psicología,M,5
A00119,Laura,Hernández,22,9.41,Administración,M,3
A00120,Pedro,Rodríguez,22,6.36,Psicología,M,8
A00121,Juan,Rodríguez,20,9.23,Psicología,F,2
A00122,Laura,López,19,7.22,Derecho,F,8
A00123,Carmen,Hernández,21,8.82,Ingeniería,M,4
A00124,Juan,Martínez,21,8.41,Psicología,M,7
A00125,María,García,18,6.86,Administración,F,3
A00126,Laura,García,21,9.43,Ingeniería,M,8
A00127,Carlos,García,21,6.59,Arquitectura,F,2
A00128,Ana,García,18,8.84,Ingeniería,M,3
A00129,Juan,Martínez,19,9.87,Administración,M,7
A00130,Ana,García,24,7.58,Administración,M,4
A00131,María,Hernández,23,6.2,Arquitectura,F,2
A00132,María,Hernández,25,7.2,Ingeniería,M,8
A00133,Carmen,Rodríguez,19,9.28,Administración,F,5
A00134,María,López,20,6.7,Arquitectura,M,2
A00135,Pedro,González,18,9.81,Ingeniería,M,1
A00136,Pedro,García,20,9.42,Administración,M,2
A00137,Carmen,González,24,8.22,Ingeniería,F,2
A00138,Pedro,González,25,8.2,Derecho,M,5
A00139,Carlos,González,25,6.38,Arquitectura,F,8
A00140,Diego,Rodríguez,21,6.41,Ingeniería,M,1
A00141,Ana,Hernández,22,9.18,Derecho,M,8
A00142,Ana,García,23,6.49,Administración,F,3
A00143,Carlos,Martínez,22,6.25,Derecho,M,1
A00144,Diego,Rodríguez,18,9.12,Arquitectura,M,1
A00145,Laura,Hernández,19,6.89,Ingeniería,M,7
A00146,Carmen,Martínez,21,6.79,Derecho,F,5
A00147,Carmen,Hernández,18,7.6,Psicología,M,3
A00148,María,García,20,8.75,Psicología,F,6
A00149,Ana,Rodríguez,24,9.75,Psicología,F,7
A00150,Ana,González,20,6.34,Administración,F,1
A00151,María,Rodríguez,18,8.34,Ingeniería,M,8
A00152,Laura,Rodríguez,24,9.67,Psicología,M,8
A00153,Juan,García,25,6.3,Medicina,F,7
A00154,Ana,González,20,9.99,Arquitectura,F,7
A00155,Ana,González,22,6.79,Medicina,M,2
A00156,Juan,López,18,8.58,Medicina,F,4
A00157,María,López,18,9.24,Administración,M,1
A00158,Juan,Hernández,22,6.37,Psicología,F,7
A00159,Ana,Martínez,19,9.39,Arquitectura,F,8
A00160,María,López,23,9.24,Derecho,F,2
A00161,Juan,García,22,6.49,Administración,F,6
A00162,Laura,Rodríguez,25,9.77,Medicina,M,6
A00163,María,González,25,6.2,Derecho,M,5
A00164,Ana,Rodríguez,20,9.7,Administración,F,7
A00165,Carlos,García,25,7.73,Administración,F,1
A00166,Carmen,Rodríguez,22,8.9,Administración,F,2
A00167,Ana,González,21,7.98,Derecho,F,6
A00168,Pedro,López,19,7.53,Ingeniería,M,6
A00169,Carmen,Martínez,23,7.71,Arquitectura,M,2
A00170,Ana,González,20,7.42,Arquitectura,M,8
A00171,Carmen,González,25,9.63,Medicina,F,5
A00172,Diego,González,22,7.1,Ingeniería,F,4
A00173,Ana,Hernández,20,7.78,Ingeniería,F,3
A00174,María,Hernández,18,6.59,Ingeniería,F,1
A00175,María,González,23,8.46,Arquitectura,F,7
A00176,Diego,García,22,8.47,Arquitectura,M,4
A00177,Laura,González,21,8.59,Psicología,F,5
A00178,Diego,Hernández,20,8.0,Arquitectura,M,7
A00179,Diego,Hernández,24,9.53,Arquitectura,M,2
A00180,Carmen,Rodríguez,24,7.92,Ingeniería,F,6
A00181,Juan,García,23,6.35,Derecho,M,8
A00182,María,López,19,7.53,Medicina,F,2
A00183,Juan,Rodríguez,24,7.68,Administración,M,8
A00184,Diego,Hernández,19,8.57,Administración,F,4
A00185,Laura,Rodríguez,20,9.19,Administración,M,3
A00186,María,Rodríguez,20,7.0,Derecho,F,1
A00187,Ana,Rodríguez,25,9.98,Medicina,M,4
A00188,Ana,García,23,8.17,Psicología,F,1
A00189,Ana,López,21,6.08,Administración,F,4
A00190,Carmen,López,18,7.53,Arquitectura,F,8
A00191,Pedro,González,22,8.85,Medicina,F,7
A00192,Diego,Hernández,24,7.92,Medicina,M,2
A00193,Pedro,Martínez,21,9.13,Medicina,M,5
A00194,Carlos,García,25,7.38,Medicina,M,8
A00195,Carmen,López,22,8.26,Arquitectura,M,8
A00196,Ana,Hernández,23,7.29,Derecho,M,1
A00197,María,Hernández,22,7.08,Medicina,M,1
A00198,Carmen,García,18,6.1,Ingeniería,M,6
A00199,María,García,22,8.39,Medicina,M,1
A00200,Juan,Hernández,23,6.12,Administración,M,6
A00201,Juan,González,21,9.24,Arquitectura,F,1
A00202,María,López,18,7.12,Ingeniería,M,7
A00203,Ana,Martínez,19,9.23,Arquitectura,M,2
A00204,Pedro,Martínez,25,7.89,Psicología,M,4
A00205,Diego,Martínez,22,7.43,Administración,F,8
A00206,Carmen,Rodríguez,20,8.34,Arquitectura,F,3
A00207,Carmen,López,24,6.93,Ingeniería,F,4
A00208,Ana,Rodríguez,22,6.64,Derecho,M,2
A00209,Diego,Rodríguez,19,6.99,Administración,F,1
A00210,Juan,Hernández,22,6.96,Ingeniería,M,3
A00211,Pedro,Rodríguez,23,8.13,Derecho,M,8
A00212,Diego,González,21,9.16,Ingeniería,M,1
A00213,Juan,González,21,8.95,Medicina,M,8
A00214,Diego,García,20,9.06,Administración,F,1
A00215,Carlos,García,25,9.79,Arquitectura,M,4
A00216,Carmen,López,20,8.3,Psicología,F,3
A00217,Carlos,López,25,9.93,Derecho,M,1
A00218,Diego,González,23,7.55,Derecho,F,3
A00219,Carmen,García,24,9.74,Medicina,F,1
A00220,Pedro,Hernández,25,9.97,Administración,F,5
A00221,Ana,García,21,6.69,Administración,M,2
A00222,Carlos,Rodríguez,21,6.95,Medicina,F,8
A00223,Ana,Martínez,19,7.27,Ingeniería,M,3
A00224,Juan,Hernández,25,8.95,Derecho,M,2
A00225,Juan,Martínez,23,7.44,Arquitectura,F,2
A00226,Laura,Martínez,19,8.37,Ingeniería,M,2
A00227,Juan,González,19,8.81,Medicina,M,8
A00228,Juan,Martínez,18,7.41,Derecho,M,4
A00229,Carmen,Martínez,21,8.27,Psicología,M,2
A00230,Pedro,Rodríguez,20,6.57,Psicología,M,4
A00231,Juan,López,20,9.79,Derecho,F,7
A00232,María,González,23,9.35,Arquitectura,M,6
A00233,Pedro,García,25,9.24,Administración,M,7
A00234,María,Rodríguez,19,9.88,Derecho,M,6
A00235,María,Martínez,21,8.17,Administración,M,2
A00236,Ana,García,25,6.7,Arquitectura,F,3
A00237,Diego,Rodríguez,19,6.15,Medicina,M,6
A00238,María,Hernández,25,6.22,Arquitectura,F,4
A00239,Ana,Hernández,18,8.41,Arquitectura,F,1
A00240,Juan,González,25,6.08,Derecho,F,3
A00241,María,Martínez,20,7.91,Derecho,M,6
A00242,Diego,González,24,7.33,Psicología,M,2
A00243,Laura,Hernández,25,8.46,Medicina,M,2
A00244,Carlos,Rodríguez,18,9.23,Ingeniería,F,5
A00245,Ana,García,25,7.36,Derecho,F,3
A00246,Laura,López,22,6.71,Medicina,M,7
A00247,Ana,Martínez,18,9.21,Medicina,F,3
A00248,Carlos,González,24,9.47,Administración,F,6
A00249,Diego,García,22,6.24,Administración,F,3
A00250,Pedro,García,18,6.59,Administración,F,8
A00251,Carlos,López,21,8.82,Psicología,F,4
A00252,Carmen,Rodríguez,19,6.57,Derecho,F,1
A00253,Laura,López,18,6.44,Derecho,F,3
A00254,María,López,24,8.11,Medicina,F,2
A00255,Juan,Rodríguez,23,7.46,Administración,M,7
A00256,Carmen,Rodríguez,19,6.29,Administración,M,3
A00257,María,Rodríguez,18,8.82,Derecho,F,1
A00258,María,García,19,8.65,Psicología,F,8
A00259,Ana,García,25,8.34,Psicología,F,2
A00260,Carlos,Martínez,18,7.35,Psicología,F,1
A00261,Pedro,Hernández,22,7.29,Derecho,F,1
A00262,Laura,Martínez,24,9.9,Derecho,F,3
A00263,María,López,20,8.93,Psicología,M,2
A00264,Ana,López,20,7.75,Arquitectura,M,5
A00265,Laura,Martínez,24,8.56,Ingeniería,F,7
A00266,Carlos,González,23,7.95,Medicina,M,8
A00267,Pedro,Hernández,24,7.27,Administración,M,3
A00268,Carmen,López,25,8.83,Arquitectura,F,4
A00269,Carlos,González,24,8.25,Ingeniería,M,3
A00270,Juan,González,24,9.56,Derecho,F,5
A00271,Carlos,Hernández,19,8.45,Medicina,M,8
A00272,María,Rodríguez,20,7.43,Arquitectura,M,7
A00273,Pedro,García,23,8.66,Medicina,F,4
A00274,Carlos,Martínez,19,9.26,Derecho,M,3
A00275,María,Hernández,20,7.51,Administración,F,1
A00276,María,García,24,8.94,Administración,M,3
A00277,Pedro,Martínez,20,7.18,Ingeniería,M,8
A00278,Carlos,García,21,6.71,Administración,M,2
A00279,Carlos,Martínez,18,6.01,Ingeniería,F,5
A00280,Ana,García,18,8.81,Ingeniería,F,6
A00281,Laura,Rodríguez,22,8.29,Arquitectura,M,7
A00282,Ana,González,25,9.4,Administración,M,1
A00283,Carlos,Martínez,24,9.08,Ingeniería,F,4
A00284,Carmen,González,24,8.27,Arquitectura,F,4
A00285,Carlos,Martínez,21,6.73,Arquitectura,M,2
A00286,Juan,Hernández,21,7.27,Psicología,M,2
A00287,María,Hernández,25,9.24,Arquitectura,F,6
A00288,Diego,Martínez,23,8.45,Medicina,F,4
A00289,Carlos,Rodríguez,20,8.56,Ingeniería,M,8
A00290,Juan,García,22,6.42,Arquitectura,F,4
A00291,Juan,Martínez,21,7.98,Derecho,M,5
A00292,Laura,García,19,7.32,Arquitectura,M,1
A00293,Pedro,Rodríguez,18,6.31,Arquitectura,F,4
A00294,Carlos,López,24,7.39,Psicología,F,2
A00295,Pedro,González,18,7.28,Administración,M,3
A00296,Carmen,Martínez,21,8.54,Medicina,F,8
A00297,Diego,Hernández,21,9.85,Derecho,M,8
A00298,Juan,Rodríguez,19,9.29,Psicología,F,3
A00299,María,García,19,8.68,Medicina,M,3
A00300,María,Martínez,18,8.92,Arquitectura,F,1
A00301,Pedro,García,25,7.34,Administración,M,1
A00302,Juan,López,18,6.05,Derecho,M,6
A00303,Laura,Martínez,21,6.84,Medicina,F,5
A00304,Pedro,González,18,8.77,Psicología,F,4
A00305,Diego,Martínez,24,7.4,Arquitectura,F,7
A00306,Pedro,González,25,9.15,Arquitectura,F,5
A00307,Juan,García,21,8.88,Ingeniería,M,6
A00308,Carlos,Martínez,21,6.19,Psicología,M,8
A00309,Laura,Rodríguez,18,7.75,Derecho,M,1
A00310,Juan,Hernández,20,7.68,Arquitectura,F,2
A00311,Laura,Rodríguez,22,6.67,Ingeniería,M,1
A00312,Ana,López,21,7.66,Administración,F,3
A00313,Ana,Rodríguez,23,9.53,Medicina,M,3
A00314,María,López,23,7.4,Arquitectura,F,1
A00315,Laura,García,21,7.5,Administración,M,8
A00316,Diego,González,22,9.32,Medicina,F,2
A00317,Pedro,Hernández,20,9.15,Arquitectura,M,2
A00318,Ana,García,21,8.31,Medicina,M,4
A00319,Pedro,González,24,9.03,Psicología,M,8
A00320,Pedro,González,22,6.9,Medicina,F,6
A00321,Diego,López,22,7.81,Medicina,F,7
A00322,Juan,Rodríguez,18,9.2,Arquitectura,M,4
A00323,Pedro,Rodríguez,20,6.13,Arquitectura,M,6
A00324,Laura,Hernández,24,6.08,Administración,F,4
A00325,Diego,Hernández,25,7.04,Medicina,F,2
A00326,Ana,López,18,6.42,Administración,F,6
A00327,Carlos,López,23,7.37,Administración,M,4
A00328,Pedro,García,24,9.55,Psicología,M,2
A00329,María,López,23,6.64,Derecho,F,4
A00330,Diego,Rodríguez,24,6.3,Ingeniería,M,7
A00331,Juan,López,24,9.77,Medicina,F,4
A00332,Carmen,López,20,9.91,Psicología,M,7
A00333,Ana,González,22,7.35,Medicina,F,4
A00334,Ana,López,24,9.94,Ingeniería,F,2
A00335,Carmen,Hernández,20,9.57,Derecho,M,8
A00336,Laura,García,25,8.82,Derecho,F,8
A00337,Carlos,López,21,7.73,Medicina,F,1
A00338,Ana,Hernández,21,8.61,Ingeniería,M,7
A00339,Ana,Martínez,22,8.43,Administración,M,3
A00340,Juan,Martínez,20,7.74,Medicina,F,4
A00341,Ana,González,25,6.21,Arquitectura,M,8
A00342,Diego,González,18,7.32,Derecho,F,3
A00343,Laura,Martínez,24,9.9,Psicología,F,7
A00344,Carlos,Hernández,24,7.64,Psicología,M,6
A00345,María,González,20,8.22,Psicología,M,3
A00346,Carlos,Hernández,24,9.7,Ingeniería,M,8
A00347,Laura,Hernández,21,8.16,Ingeniería,M,4
A00348,Diego,González,22,8.64,Administración,F,6
A00349,Laura,Rodríguez,21,7.19,Derecho,F,5
A00350,Juan,Hernández,23,6.38,Ingeniería,F,4
A00351,María,Rodríguez,19,7.57,Administración,M,6
A00352,Carlos,López,25,8.2,Arquitectura,M,3
A00353,Pedro,Martínez,23,7.96,Administración,F,1
A00354,Carlos,García,19,6.22,Derecho,F,1
A00355,Juan,Martínez,21,6.02,Administración,F,5
A00356,María,Martínez,18,6.35,Derecho,F,3
A00357,Diego,Hernández,22,9.3,Arquitectura,M,2
A00358,Laura,Rodríguez,24,8.5,Arquitectura,F,8
A00359,Laura,Rodríguez,18,7.92,Arquitectura,F,8
A00360,Diego,González,19,6.39,Medicina,M,7
A00361,María,García,21,6.83,Psicología,F,3
A00362,Diego,Rodríguez,21,8.55,Administración,M,6
A00363,Ana,González,25,9.91,Psicología,F,4
A00364,Carlos,García,21,7.89,Derecho,F,5
A00365,Juan,Rodríguez,23,6.46,Arquitectura,M,3
A00366,Diego,Martínez,22,9.14,Administración,F,3
A00367,Juan,Martínez,18,7.88,Ingeniería,M,4
A00368,Ana,García,21,9.58,Arquitectura,M,2
A00369,Laura,García,21,7.06,Derecho,M,7
A00370,Diego,Rodríguez,19,8.57,Psicología,F,8
A00371,María,Rodríguez,25,7.55,Medicina,M,4
A00372,Laura,García,21,7.48,Arquitectura,M,8
A00373,Laura,Hernández,21,7.53,Psicología,M,8
A00374,María,García,24,6.75,Derecho,M,5
A00375,Carlos,González,21,6.18,Derecho,M,1
A00376,Carlos,González,23,7.76,Psicología,M,7
A00377,Diego,González,22,7.05,Psicología,F,4
A00378,Laura,Martínez,24,9.35,Arquitectura,M,4
A00379,Diego,Martínez,25,8.26,Ingeniería,F,6
A00380,Carlos,González,23,6.6,Arquitectura,M,7
A00381,Pedro,González,22,8.79,Medicina,F,4
A00382,Ana,Hernández,22,6.39,Psicología,F,3
A00383,Diego,García,23,8.67,Medicina,F,1
A00384,Diego,Martínez,25,9.23,Medicina,M,7
A00385,Pedro,González,25,7.66,Ingeniería,F,1
A00386,Carlos,Hernández,19,9.03,Arquitectura,M,1
A00387,Diego,López,25,6.91,Administración,M,8
A00388,Juan,Rodríguez,23,6.24,Derecho,M,1
A00389,Carlos,González,21,7.55,Medicina,F,7
A00390,Carlos,Martínez,23,8.09,Medicina,F,7
A00391,Ana,González,23,9.86,Medicina,M,8
A00392,Diego,López,24,8.75,Medicina,M,2
A00393,Laura,García,18,9.75,Derecho,F,8
A00394,Carmen,Martínez,21,8.29,Arquitectura,M,8
A00395,Carmen,García,20,6.94,Administración,F,4
A00396,Carmen,Rodríguez,18,7.2,Ingeniería,M,2
A00397,Ana,Hernández,22,7.58,Administración,M,1
A00398,Carmen,García,24,9.42,Medicina,F,7
A00399,Pedro,González,22,6.14,Psicología,M,4
A00400,María,Hernández,20,8.28,Derecho,F,3
A00401,Carlos,López,21,8.07,Administración,M,6
A00402,Laura,García,23,8.29,Ingeniería,F,5
A00403,María,López,21,9.93,Psicología,M,4
A00404,Ana,Hernández,24,6.59,Administración,M,2
A00405,Carlos,Martínez,21,9.8,Psicología,F,1
A00406,Ana,Martínez,25,7.8,Psicología,F,8
A00407,Ana,González,23,9.8,Medicina,F,5
A00408,Pedro,González,22,6.67,Arquitectura,M,3
A00409,Juan,González,25,6.85,Medicina,M,8
A00410,Juan,López,25,6.77,Administración,F,1
A00411,Ana,Rodríguez,25,6.17,Psicología,F,8
A00412,Carmen,Rodríguez,20,6.31,Ingeniería,M,8
A00413,María,Rodríguez,23,8.73,Medicina,F,3
A00414,Carmen,Martínez,20,6.81,Ingeniería,M,7
A00415,Diego,Martínez,20,9.29,Medicina,F,3
A00416,Ana,Rodríguez,25,6.59,Arquitectura,F,6
A00417,Diego,Hernández,20,8.38,Arquitectura,M,8
A00418,Carmen,González,18,7.28,Medicina,M,1
A00419,Diego,García,18,8.91,Medicina,M,2
A00420,Ana,Hernández,19,9.23,Administración,F,7
A00421,Pedro,Hernández,18,6.35,Arquitectura,M,6
A00422,Juan,Rodríguez,18,8.23,Ingeniería,M,1
A00423,María,García,24,8.21,Arquitectura,M,5
A00424,Diego,Rodríguez,20,9.43,Medicina,F,7
A00425,Ana,García,21,8.08,Ingeniería,F,5
A00426,Pedro,González,19,9.67,Medicina,F,4
A00427,Carmen,Hernández,20,6.05,Derecho,F,2
A00428,Juan,Martínez,18,8.8,Medicina,M,6
A00429,Ana,Rodríguez,21,8.35,Arquitectura,M,1
A00430,María,Rodríguez,25,9.13,Psicología,F,6
A00431,Carmen,Hernández,23,6.45,Arquitectura,F,1
A00432,Pedro,Hernández,18,6.6,Arquitectura,F,2
A00433,Carmen,González,25,8.27,Administración,F,7
A00434,Laura,López,25,8.33,Ingeniería,M,6
A00435,Carmen,Rodríguez,18,9.86,Administración,F,8
A00436,Diego,García,18,6.4,Administración,M,1
A00437,Carmen,González,24,6.42,Administración,F,6
A00438,Pedro,Hernández,18,9.12,Derecho,F,6
A00439,Carmen,López,18,9.14,Ingeniería,M,3
A00440,Carmen,Rodríguez,22,9.47,Medicina,F,2
A00441,Carlos,Rodríguez,22,9.52,Psicología,M,4
A00442,Ana,Hernández,18,9.51,Arquitectura,M,3
A00443,Carlos,Hernández,24,7.06,Psicología,F,6
A00444,Carmen,Hernández,20,8.62,Psicología,F,4
A00445,Ana,Martínez,19,8.29,Medicina,M,2
A00446,Carlos,López,19,7.89,Medicina,M,8
A00447,Carmen,González,20,6.69,Psicología,F,4
A00448,María,Hernández,21,7.61,Arquitectura,M,4
A00449,Carlos,García,21,8.47,Medicina,F,6
A00450,Ana,Rodríguez,22,8.72,Arquitectura,M,6
A00451,Carlos,González,23,7.61,Medicina,M,5
A00452,Laura,Martínez,22,7.58,Arquitectura,F,7
A00453,Laura,Hernández,24,9.52,Administración,F,5
A00454,María,Rodríguez,19,8.76,Arquitectura,F,1
A00455,Pedro,López,23,6.2,Derecho,F,2
A00456,Pedro,Hernández,24,7.9,Medicina,M,6
A00457,Ana,Hernández,25,7.07,Administración,M,6
A00458,Diego,Hernández,21,7.49,Administración,M,8
A00459,Pedro,Hernández,21,7.35,Derecho,M,8
A00460,Ana,González,22,9.17,Psicología,M,2
A00461,María,García,19,7.24,Arquitectura,F,8
A00462,Diego,Hernández,18,9.37,Arquitectura,M,5
A00463,Diego,Hernández,19,9.43,Ingeniería,F,8
A00464,Laura,Martínez,24,8.74,Medicina,M,6
A00465,Carmen,González,24,9.89,Psicología,M,2
A00466,Diego,Rodríguez,24,6.91,Psicología,F,4
A00467,Juan,García,25,7.2,Medicina,M,8
A00468,Ana,Rodríguez,18,8.97,Ingeniería,M,2
A00469,Diego,Rodríguez,18,9.1,Ingeniería,M,2
A00470,Diego,López,20,7.28,Medicina,F,7
A00471,Juan,López,19,8.92,Arquitectura,M,3
A00472,Diego,Rodríguez,25,8.42,Arquitectura,M,5
A00473,Carmen,Martínez,24,6.36,Administración,F,2
A00474,Juan,López,23,7.77,Psicología,F,2
A00475,Laura,López,19,9.65,Medicina,F,3
A00476,Carlos,López,18,7.63,Arquitectura,F,5
A00477,Diego,López,21,7.94,Ingeniería,F,2
A00478,Diego,García,21,8.07,Medicina,F,3
A00479,Ana,Rodríguez,25,7.5,Psicología,M,8
A00480,Carmen,García,22,6.22,Arquitectura,M,3
A00481,Ana,González,18,9.17,Arquitectura,M,4
A00482,Carlos,González,19,6.26,Ingeniería,M,1
A00483,Diego,Hernández,22,8.84,Arquitectura,M,5
A00484,Carmen,González,18,7.61,Arquitectura,M,7
A00485,Juan,García,20,9.12,Ingeniería,F,3
A00486,Diego,Hernández,23,8.1,Ingeniería,M,8
A00487,Laura,Rodríguez,18,8.27,Psicología,M,6
A00488,Diego,González,21,6.69,Administración,M,7
A00489,Pedro,López,20,9.5,Medicina,M,8
A00490,Carmen,González,24,6.8,Arquitectura,F,1
A00491,Pedro,Martínez,19,6.23,Arquitectura,M,5
A00492,Juan,López,22,6.13,Ingeniería,F,4
A00493,Diego,López,20,6.2,Administración,M,2
A00494,Juan,López,21,7.44,Administración,F,1
A00495,María,Hernández,24,6.8,Psicología,F,4
A00496,Diego,González,23,7.47,Arquitectura,M,6
A00497,Pedro,López,24,7.86,Psicología,F,7
A00498,Carmen,Hernández,20,7.59,Derecho,F,6
A00499,Pedro,Martínez,19,9.69,Ingeniería,F,6
A00500,Juan,García,23,8.72,Administración,M,8
A00501,Carlos,Martínez,18,6.97,Arquitectura,M,8
A00502,Diego,Rodríguez,19,7.96,Psicología,M,8
A00503,Laura,Hernández,24,7.78,Medicina,M,5
A00504,Ana,Hernández,21,9.84,Psicología,M,3
A00505,Carmen,López,19,7.9,Psicología,F,5
A00506,Laura,Martínez,23,8.21,Derecho,M,3
