matricula,nombre,apellido,edad,promedio,carrera,genero,cuatrimestre
A00159,Ana,Martínez,19,9.39,Arquitectura,F,8
A00160,María,López,23,9.24,Derecho,F,2
A00162,Laura,Rodríguez,25,9.77,Medicina,M,6
A00164,Ana,Rodríguez,20,9.7,Administración,F,7
A00171,Carmen,González,25,9.63,Medicina,F,5
A00179,Diego,Hernández,24,9.53,Arquitectura,M,2
A00185,Laura,Rodríguez,20,9.19,Administración,M,3
A00187,Ana,Rodríguez,25,9.98,Medicina,M,4
A00193,Pedro,Martínez,21,9.13,Medicina,M,5
A00201,Juan,González,21,9.24,Arquitectura,F,1
A00203,Ana,Martínez,19,9.23,Arquitectura,M,2
A00212,Diego,González,21,9.16,Ingeniería,M,1
A00214,Diego,García,20,9.06,Administración,F,1
A00215,Carlos,García,25,9.79,Arquitectura,M,4
A00217,Carlos,López,25,9.93,Derecho,M,1
A00219,Carmen,García,24,9.74,Medicina,F,1
A00220,Pedro,Hernández,25,9.97,Administración,F,5
A00231,Juan,López,20,9.79,Derecho,F,7
A00232,María,González,23,9.35,Arquitectura,M,6
A00233,Pedro,García,25,9.24,Administración,M,7
A00234,María,Rodríguez,19,9.88,Derecho,M,6
A00244,Carlos,Rodríguez,18,9.23,Ingeniería,F,5
A00247,Ana,Martínez,18,9.21,Medicina,F,3
A00248,Carlos,González,24,9.47,Administración,F,6
A00262,Laura,Martínez,24,9.9,Derecho,F,3
A00270,Juan,González,24,9.56,Derecho,F,5
A00274,Carlos,Martínez,19,9.26,Derecho,M,3
A00282,Ana,González,25,9.4,Administración,M,1
A00283,Carlos,Martínez,24,9.08,Ingeniería,F,4
A00287,María,Hernández,25,9.24,Arquitectura,F,6
A00297,Diego,Hernández,21,9.85,Derecho,M,8
A00298,Juan,Rodríguez,19,9.29,Psicología,F,3
A00306,Pedro,González,25,9.15,Arquitectura,F,5
A00313,Ana,Rodríguez,23,9.53,Medicina,M,3
A00316,Diego,González,22,9.32,Medicina,F,2
A00317,Pedro,Hernández,20,9.15,Arquitectura,M,2
A00319,Pedro,González,24,9.03,Psicología,M,8
A00322,Juan,Rodríguez,18,9.2,Arquitectura,M,4
A00328,Pedro,García,24,9.55,Psicología,M,2
A00331,Juan,López,24,9.77,Medicina,F,4
A00332,Carmen,López,20,9.91,Psicología,M,7
A00334,Ana,López,24,9.94,Ingeniería,F,2
A00335,Carmen,Hernández,20,9.57,Derecho,M,8
A00343,Laura,Martínez,24,9.9,Psicología,F,7
A00346,Carlos,Hernández,24,9.7,Ingeniería,M,8
A00357,Diego,Hernández,22,9.3,Arquitectura,M,2
A00363,Ana,González,25,9.91,Psicología,F,4
A00366,Diego,Martínez,22,9.14,Administración,F,3
A00368,Ana,García,21,9.58,Arquitectura,M,2
A00378,Laura,Martínez,24,9.35,Arquitectura,M,4
A00384,Diego,Martínez,25,9.23,Medicina,M,7
A00386,Carlos,Hernández,19,9.03,Arquitectura,M,1
A00391,Ana,González,23,9.86,Medicina,M,8
A00393,Laura,García,18,9.75,Derecho,F,8
A00398,Carmen,García,24,9.42,Medicina,F,7
A00403,María,López,21,9.93,Psicología,M,4
A00405,Carlos,Martínez,21,9.8,Psicología,F,1
A00407,Ana,González,23,9.8,Medicina,F,5
A00415,Diego,Martínez,20,9.29,Medicina,F,3
A00420,Ana,Hernández,19,9.23,Administración,F,7
A00424,Diego,Rodríguez,20,9.43,Medicina,F,7
A00426,Pedro,González,19,9.67,Medicina,F,4
A00430,María,Rodríguez,25,9.13,Psicología,F,6
A00435,Carmen,Rodríguez,18,9.86,Administración,F,8
A00438,Pedro,Hernández,18,9.12,Derecho,F,6
A00439,Carmen,López,18,9.14,Ingeniería,M,3
A00440,Carmen,Rodríguez,22,9.47,Medicina,F,2
A00441,Carlos,Rodríguez,22,9.52,Psicología,M,4
A00442,Ana,Hernández,18,9.51,Arquitectura,M,3
A00453,Laura,Hernández,24,9.52,Administración,F,5
A00460,Ana,González,22,9.17,Psicología,M,2
A00462,Diego,Hernández,18,9.37,Arquitectura,M,5
A00463,Diego,Hernández,19,9.43,Ingeniería,F,8
A00465,Carmen,González,24,9.89,Psicología,M,2
A00469,Diego,Rodríguez,18,9.1,Ingeniería,M,2
A00475,Laura,López,19,9.65,Medicina,F,3
A00481,Ana,González,18,9.17,Arquitectura,M,4
A00485,Juan,García,20,9.12,Ingeniería,F,3
A00489,Pedro,López,20,9.5,Medicina,M,8
A00499,Pedro,Martínez,19,9.69,Ingeniería,F,6
A00504,Ana,Hernández,21,9.84,Psicología,M,3
A00508,Diego,Rodríguez,23,9.35,Administración,F,4
A00510,Diego,Martínez,22,9.32,Arquitectura,M,6
A00514,Juan,Rodríguez,23,9.42,Derecho,F,6
A00515,Juan,Martínez,24,9.12,Psicología,F,5
A00522,Ana,Rodríguez,19,9.46,Derecho,F,3
A00523,Juan,Martínez,19,9.87,Medicina,F,3
A00528,María,López,24,9.2,Arquitectura,F,3
A00531,Carlos,Rodríguez,19,9.77,Arquitectura,F,6
A00535,Pedro,Rodríguez,25,9.58,Medicina,M,6
A00536,Carlos,González,23,9.41,Administración,F,6
A00544,Ana,Rodríguez,24,10.0,Arquitectura,F,7
A00545,María,Martínez,19,9.87,Derecho,M,8
A00546,Carlos,González,18,9.36,Derecho,M,3
A00557,María,González,21,9.81,Arquitectura,M,6
A00563,Pedro,López,22,9.43,Arquitectura,F,5
A00564,Carlos,García,22,9.24,Psicología,F,1
A00571,María,López,24,9.63,Administración,M,1
A00575,Carmen,Hernández,23,9.98,Administración,F,4
A00576,Diego,López,22,9.26,Medicina,M,1
A00582,Carmen,García,20,9.76,Arquitectura,M,8
A00593,Diego,Rodríguez,22,9.65,Administración,M,5
A00594,Carmen,López,23,9.79,Ingeniería,F,6
A00595,Ana,Rodríguez,21,9.6,Ingeniería,M,6
A00599,Juan,Martínez,24,9.49,Psicología,M,4
A00601,Carlos,González,22,9.55,Ingeniería,M,7
A00616,Ana,Martínez,22,9.48,Arquitectura,F,2
A00618,Ana,González,24,9.97,Medicina,M,7
A00620,María,López,20,9.95,Psicología,F,7
A00621,Pedro,González,22,9.57,Psicología,F,3
A00622,Ana,Martínez,21,9.95,Ingeniería,M,8
A00624,Carmen,Hernández,20,9.45,Administración,M,4
A00628,Ana,Rodríguez,25,9.95,Ingeniería,F,8
A00633,Carlos,González,23,9.09,Medicina,M,8
A00636,Carlos,Martínez,21,9.14,Administración,F,1
A00637,Juan,Martínez,23,9.12,Ingeniería,F,3
A00646,Carmen,García,22,9.8,Derecho,F,4
A00647,Carmen,Rodríguez,21,9.57,Administración,F,1
A00648,Laura,López,21,9.03,Psicología,M,2
A00654,María,Hernández,23,9.51,Administración,F,7
A00661,Carlos,Hernández,19,9.79,Arquitectura,F,3
A00668,Carmen,López,25,9.98,Medicina,M,3
A00672,Carlos,Martínez,25,9.63,Ingeniería,M,7
A00673,Juan,García,25,9.25,Derecho,F,6
A00676,Ana,García,22,9.94,Arquitectura,F,5
A00682,María,Martínez,20,9.17,Derecho,F,6
A00685,Diego,Rodríguez,20,9.08,Derecho,F,5
A00690,Ana,Rodríguez,24,9.34,Psicología,F,1
A00706,Pedro,Martínez,20,9.59,Administración,F,2
A00710,María,García,25,9.14,Medicina,M,8
A00713,Diego,García,25,9.11,Derecho,F,6
A00714,Carlos,Martínez,23,9.33,Arquitectura,M,3
A00715,Carmen,González,24,9.89,Arquitectura,M,8
A00720,Laura,García,25,9.64,Derecho,M,2
A00729,Carmen,Martínez,19,9.8,Psicología,M,2
A00730,Carmen,López,20,9.12,Derecho,F,7
A00733,Diego,Rodríguez,24,9.62,Arquitectura,F,1
A00736,Carmen,Hernández,24,9.91,Administración,F,1
A00739,Laura,Martínez,25,9.25,Psicología,F,1
A00740,Laura,Rodríguez,20,9.5,Administración,M,1
A00741,María,Hernández,20,9.41,Medicina,M,8
A00746,Carlos,Martínez,23,9.4,Medicina,M,5
A00747,Diego,Rodríguez,25,9.56,Medicina,M,1
A00752,Carlos,García,20,9.58,Medicina,M,3
A00753,Laura,López,21,9.82,Ingeniería,M,6
A00761,Laura,Hernández,20,9.34,Arquitectura,F,4
A00765,Ana,González,22,9.54,Arquitectura,F,4
A00769,Carmen,Hernández,22,9.93,Derecho,M,1
A00770,Carmen,Martínez,20,9.38,Psicología,F,2
A00772,Juan,Rodríguez,25,9.64,Arquitectura,F,8
A00777,Diego,González,18,9.12,Medicina,F,3
A00779,Ana,Martínez,21,9.45,Arquitectura,M,7
A00780,María,Rodríguez,24,9.52,Psicología,F,7
A00782,María,Rodríguez,21,9.57,Arquitectura,M,4
A00785,Carlos,García,25,9.55,Derecho,M,6
A00790,Ana,Martínez,19,9.47,Ingeniería,F,8
A00795,Pedro,Hernández,20,9.82,Administración,M,6
A00796,María,Martínez,20,9.49,Ingeniería,F,8
A00806,Carmen,Martínez,22,9.31,Derecho,M,7
A00807,Carmen,López,19,9.57,Medicina,M,4
A00810,Diego,García,18,9.74,Medicina,M,6
A00815,Diego,Hernández,20,9.01,Derecho,M,7
A00822,Diego,Hernández,24,9.27,Derecho,F,2
A00829,Carmen,López,23,9.92,Medicina,F,7
A00835,Pedro,García,25,9.3,Derecho,F,5
A00836,María,Rodríguez,23,9.17,Medicina,F,7
A00837,Carmen,González,19,9.85,Arquitectura,M,6
A00839,Laura,Rodríguez,21,9.56,Psicología,F,7
A00844,Laura,García,23,9.3,Psicología,M,2
A00845,Carmen,García,22,9.27,Ingeniería,F,2
A00846,Juan,Rodríguez,23,9.38,Medicina,F,5
A00848,Ana,Hernández,25,9.07,Psicología,M,8
A00858,Juan,Hernández,25,9.2,Arquitectura,M,7
A00862,Carlos,Hernández,20,9.59,Ingeniería,M,2
A00864,Laura,Rodríguez,20,9.29,Medicina,M,8
A00870,Pedro,López,23,9.41,Ingeniería,M,5
A00872,María,González,18,9.3,Administración,M,1
A00875,Carmen,González,21,9.03,Derecho,M,2
A00880,Carmen,Rodríguez,21,9.57,Derecho,M,8
A00884,Carlos,González,21,9.86,Derecho,F,3
A00890,Diego,González,24,9.7,Administración,M,5
A00891,Carlos,Rodríguez,20,9.12,Administración,M,7
A00892,Carmen,López,25,9.64,Arquitectura,F,8
A00895,Diego,González,24,9.26,Derecho,F,8
A00900,Laura,López,23,9.53,Administración,F,5
A00908,Carmen,González,20,9.22,Medicina,M,1
A00911,Laura,García,21,9.55,Derecho,M,6
A00913,Ana,García,24,9.37,Administración,M,6
A00922,Pedro,González,24,9.68,Derecho,F,4
A00925,Laura,Martínez,21,9.9,Derecho,M,5
A00930,Laura,Rodríguez,18,9.04,Psicología,F,6
A00933,Carlos,Hernández,21,9.77,Derecho,F,6
A00936,Laura,Martínez,18,9.58,Arquitectura,M,7
A00938,Carmen,Hernández,25,9.51,Psicología,M,5
A00946,Juan,Rodríguez,23,9.14,Derecho,F,2
A00947,Carlos,González,20,9.93,Administración,F,8
A00951,Carlos,Rodríguez,20,9.14,Medicina,F,8
A00963,Diego,García,24,9.19,Ingeniería,M,1
A00969,Carmen,García,19,9.15,Administración,M,6
A00971,María,Martínez,19,9.86,Derecho,F,2
A00975,Carmen,López,24,9.48,Derecho,M,6
A00976,Laura,Rodríguez,19,9.44,Psicología,F,2
A00988,Carmen,García,20,9.93,Psicología,F,3
A00990,Laura,Martínez,18,9.85,Derecho,M,4
A00997,Ana,García,20,9.38,Arquitectura,M,8
